Entry	Entry name	Protein names	yourlist:M20180509F725F458AC8690F874DD868E4ED79B88FE4F7BJ
Q5T7V8	GORAB_HUMAN	RAB6-interacting golgin (N-terminal kinase-like-binding protein 1) (NTKL-BP1) (NTKL-binding protein 1) (hNTKL-BP1) (SCY1-like 1-binding protein 1) (SCYL1-BP1) (SCYL1-binding protein 1)	NM_152281
Q8IYJ3	SYTL1_HUMAN	Synaptotagmin-like protein 1 (Exophilin-7) (Protein JFC1)	NM_032872
P41220	RGS2_HUMAN	Regulator of G-protein signaling 2 (RGS2) (Cell growth-inhibiting gene 31 protein) (G0/G1 switch regulatory protein 8)	NM_002923
Q5D1E8	ZC12A_HUMAN	Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)	NM_025079
Q7Z404	TMC4_HUMAN	Transmembrane channel-like protein 4	NM_144686
Q8TBZ8	ZN564_HUMAN	Zinc finger protein 564	NM_144976
Q8NHS1	CLDN2_HUMAN	Claudin domain-containing protein 2	NM_152353
Q8N587	ZN561_HUMAN	Zinc finger protein 561	NM_152289
Q7L2R6	ZN765_HUMAN	Zinc finger protein 765	NM_001040185
Q68DI1	ZN776_HUMAN	Zinc finger protein 776	NM_173632
Q9UK11	ZN223_HUMAN	Zinc finger protein 223	NM_013361
O14544	SOCS6_HUMAN	Suppressor of cytokine signaling 6 (SOCS-6) (Cytokine-inducible SH2 protein 4) (CIS-4) (Suppressor of cytokine signaling 4) (SOCS-4)	NM_004232
Q9UK58	CCNL1_HUMAN	Cyclin-L1 (Cyclin-L)	NM_020307
Q96S65	CSRN1_HUMAN	Cysteine/serine-rich nuclear protein 1 (CSRNP-1) (Axin-1 up-regulated gene 1 protein) (Protein URAX1) (TGF-beta-induced apoptosis protein 3) (TAIP-3)	NM_033027
Q0VAA5	PLCX2_HUMAN	PI-PLC X domain-containing protein 2	NM_153268
Q5T953	IER5L_HUMAN	Immediate early response gene 5-like protein	NM_203434
Q8IY26	PLPP6_HUMAN	Phospholipid phosphatase 6 (EC 3.1.3.-) (Phosphatidic acid phosphatase type 2 domain-containing protein 2) (PPAP2 domain-containing protein 2) (Presqualene diphosphate phosphatase)	NM_203453
Q7L3B6	CD37L_HUMAN	Hsp90 co-chaperone Cdc37-like 1 (Hsp90-associating relative of Cdc37)	NM_017913
P26010	ITB7_HUMAN	Integrin beta-7 (Gut homing receptor beta subunit)	NM_000889
P15018	LIF_HUMAN	Leukemia inhibitory factor (LIF) (Differentiation-stimulating factor) (D factor) (Melanoma-derived LPL inhibitor) (MLPLI) (Emfilermin)	NM_002309
Q99676	ZN184_HUMAN	Zinc finger protein 184	NM_007149
O95847	UCP4_HUMAN	Mitochondrial uncoupling protein 4 (UCP 4) (Solute carrier family 25 member 27)	NM_004277
Q6ZN17	LN28B_HUMAN	Protein lin-28 homolog B (Lin-28B)	NM_001004317
Q9HCI6	K1586_HUMAN	E3 SUMO-protein ligase KIAA1586 (EC 2.3.2.-) (E3 SUMO-protein transferase KIAA1586)	NM_020931
Q06945	SOX4_HUMAN	Transcription factor SOX-4	NM_003107
P25963	IKBA_HUMAN	NF-kappa-B inhibitor alpha (I-kappa-B-alpha) (IkB-alpha) (IkappaBalpha) (Major histocompatibility complex enhancer-binding protein MAD3)	NM_020529
O15015	ZN646_HUMAN	Zinc finger protein 646	NM_014699
Q9BUL5	PHF23_HUMAN	PHD finger protein 23 (PDH-containing protein JUNE-1)	NM_024297
Q9HC52	CBX8_HUMAN	Chromobox protein homolog 8 (Polycomb 3 homolog) (Pc3) (hPc3) (Rectachrome 1)	NM_020649
Q9H081	MIS12_HUMAN	Protein MIS12 homolog	NM_024039
Q49AG3	ZBED5_HUMAN	Zinc finger BED domain-containing protein 5 (Transposon-derived Buster1 transposase-like protein)	NM_021211
Q96MB7	HARB1_HUMAN	Putative nuclease HARBI1 (EC 3.1.-.-) (Harbinger transposase-derived nuclease)	NM_173811
Q92989	CLP1_HUMAN	Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)	NM_006831
Q8N8R7	AL14E_HUMAN	ARL14 effector protein (ARF7 effector protein)	NM_152316
Q8IZ73	RUSD2_HUMAN	RNA pseudouridylate synthase domain-containing protein 2	NM_152260
P78367	NKX32_HUMAN	Homeobox protein Nkx-3.2 (Bagpipe homeobox protein homolog 1) (Homeobox protein NK-3 homolog B)	NM_001189
Q96CG3	TIFA_HUMAN	TRAF-interacting protein with FHA domain-containing protein A (Putative MAPK-activating protein PM14) (Putative NF-kappa-B-activating protein 20) (TRAF2-binding protein)	NM_052864
Q96A61	TRI52_HUMAN	Tripartite motif-containing protein 52 (RING finger protein 102)	NM_032765
Q9HAZ1	CLK4_HUMAN	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	NM_020666
O43513	MED7_HUMAN	Mediator of RNA polymerase II transcription subunit 7 (hMED7) (Activator-recruited cofactor 34 kDa component) (ARC34) (Cofactor required for Sp1 transcriptional activation subunit 9) (CRSP complex subunit 9) (Mediator complex subunit 7) (RNA polymerase transcriptional regulation mediator subunit 7 homolog) (Transcriptional coactivator CRSP33)	NM_004270
Q96MW7	TIGD1_HUMAN	Tigger transposable element-derived protein 1	NM_145702
Q14140	SRTD2_HUMAN	SERTA domain-containing protein 2 (Transcriptional regulator interacting with the PHD-bromodomain 2) (TRIP-Br2)	NM_014755
Q8TCD6	PHOP2_HUMAN	Pyridoxal phosphate phosphatase PHOSPHO2 (EC 3.1.3.74)	NM_001008489
O00470	MEIS1_HUMAN	Homeobox protein Meis1	NM_002398
Q9BVC5	ASHWN_HUMAN	Ashwin	NM_024093
Q86V97	KBTB6_HUMAN	Kelch repeat and BTB domain-containing protein 6	NM_152903
P78325	ADAM8_HUMAN	Disintegrin and metalloproteinase domain-containing protein 8 (ADAM 8) (EC 3.4.24.-) (Cell surface antigen MS2) (CD antigen CD156a)	NM_001109
O75364	PITX3_HUMAN	Pituitary homeobox 3 (Homeobox protein PITX3) (Paired-like homeodomain transcription factor 3)	NM_005029
Q96F45	ZN503_HUMAN	Zinc finger protein 503	NM_032772
P52736	ZN133_HUMAN	Zinc finger protein 133 (Zinc finger protein 150)	NM_003434
O75123	ZN623_HUMAN	Zinc finger protein 623	NM_014789
Q8TC76	F110B_HUMAN	Protein FAM110B	NM_147189
O14904	WNT9A_HUMAN	Protein Wnt-9a (Protein Wnt-14)	NM_003395
Q96BR6	ZN669_HUMAN	Zinc finger protein 669	NM_024804
P20309	ACM3_HUMAN	Muscarinic acetylcholine receptor M3	NM_000740
P02818	OSTCN_HUMAN	Osteocalcin (Bone Gla protein) (BGP) (Gamma-carboxyglutamic acid-containing protein)	NM_199173
Q9UDY4	DNJB4_HUMAN	DnaJ homolog subfamily B member 4 (Heat shock 40 kDa protein 1 homolog) (HSP40 homolog) (Heat shock protein 40 homolog) (Human liver DnaJ-like protein)	NM_007034
P58004	SESN2_HUMAN	Sestrin-2 (EC 1.11.1.15) (Hypoxia-induced gene)	NM_031459
Q96SK3	ZN607_HUMAN	Zinc finger protein 607	NM_032689
Q68EA5	ZNF57_HUMAN	Zinc finger protein 57 (Zinc finger protein 424)	NM_173480
Q9HCX3	ZN304_HUMAN	Zinc finger protein 304 (KRAB-containing zinc finger protein)	NM_020657
P10073	ZSC22_HUMAN	Zinc finger and SCAN domain-containing protein 22 (Krueppel-related zinc finger protein 2) (Protein HKR2) (Zinc finger protein 50)	NM_181846
Q9BTL4	IER2_HUMAN	Immediate early response gene 2 protein (Protein ETR101)	NM_004907
Q9UK13	ZN221_HUMAN	Zinc finger protein 221	NM_013359
Q7Z5U6	WDR53_HUMAN	WD repeat-containing protein 53	NM_182627
Q9HCI7	MSL2_HUMAN	E3 ubiquitin-protein ligase MSL2 (EC 2.3.2.-) (E3 ubiquitin-protein transferase MSL2) (Male-specific lethal 2-like 1) (MSL2-like 1) (Male-specific lethal-2 homolog) (MSL-2) (Male-specific lethal-2 homolog 1) (RING finger protein 184)	NM_018133
Q9NPC7	MYNN_HUMAN	Myoneurin (Zinc finger and BTB domain-containing protein 31)	NM_018657
Q8NDZ4	DIA1_HUMAN	Deleted in autism protein 1 (Golgi Protein of 49 kDa) (GoPro49) (Hypoxia and AKT-induced stem cell factor) (HASF)	NM_173552
Q5VZ52	MORN5_HUMAN	MORN repeat-containing protein 5	NM_198469
Q99967	CITE2_HUMAN	Cbp/p300-interacting transactivator 2 (MSG-related protein 1) (MRG-1) (P35srj)	NM_006079
Q9P0P8	CF203_HUMAN	Uncharacterized protein C6orf203	NM_016487
P11309	PIM1_HUMAN	Serine/threonine-protein kinase pim-1 (EC 2.7.11.1)	NM_002648
Q8TCP9	F200A_HUMAN	Protein FAM200A	NM_145111
P31269	HXA9_HUMAN	Homeobox protein Hox-A9 (Homeobox protein Hox-1G)	NM_152739
Q86WZ0	HEAT4_HUMAN	HEAT repeat-containing protein 4	NM_203309
Q9H6W3	RIOX1_HUMAN	Ribosomal oxygenase 1 (60S ribosomal protein L8 histidine hydroxylase) (Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66) (EC 1.14.11.-) (EC 1.14.11.27) (Histone lysine demethylase NO66) (Myc-associated protein with JmjC domain) (Nucleolar protein 66) (hsNO66) (Ribosomal oxygenase NO66) (ROX)	NM_024644
Q8N769	CN178_HUMAN	Uncharacterized protein C14orf178	NM_174943
Q96S07	PRR25_HUMAN	Proline-rich protein 25	NM_001013638
Q96M94	KLH15_HUMAN	Kelch-like protein 15	NM_030624
Q96GS4	BORC6_HUMAN	BLOC-1-related complex subunit 6 (Lysosome-dispersing protein) (Lyspersin)	NM_017622
Q3LIE5	ADPRM_HUMAN	Manganese-dependent ADP-ribose/CDP-alcohol diphosphatase (EC 3.6.1.13) (EC 3.6.1.16) (EC 3.6.1.53) (ADPRibase-Mn) (CDP-choline phosphohydrolase)	NM_020233
P22083	FUT4_HUMAN	Alpha-(1,3)-fucosyltransferase 4 (EC 2.4.1.-) (ELAM-1 ligand fucosyltransferase) (Fucosyltransferase 4) (Fucosyltransferase IV) (Fuc-TIV) (FucT-IV) (Galactoside 3-L-fucosyltransferase)	NM_002033
Q8TD55	PKHO2_HUMAN	Pleckstrin homology domain-containing family O member 2 (PH domain-containing family O member 2) (Pleckstrin homology domain-containing family Q member 1) (PH domain-containing family Q member 1)	NM_025201
Q96GV9	CE030_HUMAN	UNC119-binding protein C5orf30	NM_033211
P35408	PE2R4_HUMAN	Prostaglandin E2 receptor EP4 subtype (PGE receptor EP4 subtype) (PGE2 receptor EP4 subtype) (Prostanoid EP4 receptor)	NM_000958
Q9UKI2	BORG2_HUMAN	Cdc42 effector protein 3 (Binder of Rho GTPases 2) (MSE55-related Cdc42-binding protein)	NM_006449
Q8IVL8	CBPO_HUMAN	Carboxypeptidase O (CPO) (EC 3.4.17.-)	NM_173077
Q53S58	TM177_HUMAN	Transmembrane protein 177	NM_030577
Q05195	MAD1_HUMAN	Max dimerization protein 1 (Max dimerizer 1) (Protein MAD)	NM_002357
Q9NX57	RAB20_HUMAN	Ras-related protein Rab-20	NM_017817
Q8N448	LNX2_HUMAN	Ligand of Numb protein X 2 (Numb-binding protein 2) (PDZ domain-containing RING finger protein 1)	NM_153371
Q14865	ARI5B_HUMAN	AT-rich interactive domain-containing protein 5B (ARID domain-containing protein 5B) (MRF1-like protein) (Modulator recognition factor 2) (MRF-2)	NM_032199
Q96NZ9	PRAP1_HUMAN	Proline-rich acidic protein 1 (Epididymis tissue protein Li 178) (Uterine-specific proline-rich acidic protein)	NM_145202
Q9UM82	SPAT2_HUMAN	Spermatogenesis-associated protein 2 (Spermatogenesis-associated protein PD1)	NM_006038
Q8TBE9	NANP_HUMAN	N-acylneuraminate-9-phosphatase (EC 3.1.3.29) (Haloacid dehalogenase-like hydrolase domain-containing protein 4) (Neu5Ac-9-Pase)	NM_152667
Q9BR11	ZSWM1_HUMAN	Zinc finger SWIM domain-containing protein 1	NM_080603
Q9UKK6	NXT1_HUMAN	NTF2-related export protein 1 (Protein p15)	NM_013248
Q9HAW0	BRF2_HUMAN	Transcription factor IIIB 50 kDa subunit (TFIIIB50) (hTFIIIB50) (B-related factor 2) (BRF-2) (hBRFU)	NM_018310
Q8IXT5	RB12B_HUMAN	RNA-binding protein 12B (RNA-binding motif protein 12B)	NM_203390
Q96F44	TRI11_HUMAN	E3 ubiquitin-protein ligase TRIM11 (EC 2.3.2.27) (Protein BIA1) (RING finger protein 92) (RING-type E3 ubiquitin transferase TRIM11) (Tripartite motif-containing protein 11)	NM_145214
Q96BD6	SPSB1_HUMAN	SPRY domain-containing SOCS box protein 1 (SSB-1)	NM_025106
Q9P1Z3	HCN3_HUMAN	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 3	NM_020897
Q96PN8	TSSK3_HUMAN	Testis-specific serine/threonine-protein kinase 3 (TSK-3) (TSSK-3) (Testis-specific kinase 3) (EC 2.7.11.1) (Serine/threonine-protein kinase 22C)	NM_052841
P49715	CEBPA_HUMAN	CCAAT/enhancer-binding protein alpha (C/EBP alpha)	NM_004364
P58317	ZN121_HUMAN	Zinc finger protein 121 (Zinc finger protein 20)	NM_001008727
Q86YE8	ZN573_HUMAN	Zinc finger protein 573	NM_152360
Q08AN1	ZN616_HUMAN	Zinc finger protein 616	NM_178523
Q8TF32	ZN431_HUMAN	Zinc finger protein 431	NM_133473
Q9HAH1	ZN556_HUMAN	Zinc finger protein 556	NM_024967
Q8NA42	ZN383_HUMAN	Zinc finger protein 383	NM_152604
Q86XN6	ZN761_HUMAN	Zinc finger protein 761	NM_001008401
Q6ZN55	ZN574_HUMAN	Zinc finger protein 574	NM_022752
P17021	ZNF17_HUMAN	Zinc finger protein 17 (Zinc finger protein HPF3) (Zinc finger protein KOX10)	NM_006959
Q8IVP9	ZN547_HUMAN	Zinc finger protein 547	NM_173631
Q7L945	ZN627_HUMAN	Zinc finger protein 627	NM_145295
Q9UK12	ZN222_HUMAN	Zinc finger protein 222	NM_013360
O43829	ZBT14_HUMAN	Zinc finger and BTB domain-containing protein 14 (Zinc finger protein 161 homolog) (Zfp-161) (Zinc finger protein 478) (Zinc finger protein 5 homolog) (ZF5) (Zfp-5) (hZF5)	NM_003409
Q6ZSG1	RN165_HUMAN	E3 ubiquitin-protein ligase RNF165 (EC 2.3.2.27) (RING finger protein 165)	NM_152470
Q9ULJ3	ZBT21_HUMAN	Zinc finger and BTB domain-containing protein 21 (Zinc finger protein 295)	NM_020727
P58012	FOXL2_HUMAN	Forkhead box protein L2	NM_023067
Q9UBU3	GHRL_HUMAN	Appetite-regulating hormone (Growth hormone secretagogue) (Growth hormone-releasing peptide) (Motilin-related peptide) (Protein M46) [Cleaved into: Ghrelin-27; Ghrelin-28 (Ghrelin); Obestatin]	NM_016362
Q7Z3E1	PARPT_HUMAN	TCDD-inducible poly [ADP-ribose] polymerase (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 14) (ARTD14) (Poly [ADP-ribose] polymerase 7) (PARP-7)	NM_015508
O14503	BHE40_HUMAN	Class E basic helix-loop-helix protein 40 (bHLHe40) (Class B basic helix-loop-helix protein 2) (bHLHb2) (Differentially expressed in chondrocytes protein 1) (DEC1) (Enhancer-of-split and hairy-related protein 2) (SHARP-2) (Stimulated by retinoic acid gene 13 protein)	NM_003670
Q9NS56	TOPRS_HUMAN	E3 ubiquitin-protein ligase Topors (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Topors) (SUMO1-protein E3 ligase Topors) (Topoisomerase I-binding RING finger protein) (Topoisomerase I-binding arginine/serine-rich protein) (Tumor suppressor p53-binding protein 3) (p53-binding protein 3) (p53BP3)	NM_005802
Q7L5A3	F214B_HUMAN	Protein FAM214B	NM_025182
Q13886	KLF9_HUMAN	Krueppel-like factor 9 (Basic transcription element-binding protein 1) (BTE-binding protein 1) (GC-box-binding protein 1) (Transcription factor BTEB1)	NM_001206
Q15937	ZNF79_HUMAN	Zinc finger protein 79 (ZNFpT7)	NM_007135
Q15699	ALX1_HUMAN	ALX homeobox protein 1 (Cartilage homeoprotein 1) (CART-1)	NM_006982
O43248	HXC11_HUMAN	Homeobox protein Hox-C11 (Homeobox protein Hox-3H)	NM_014212
O95279	KCNK5_HUMAN	Potassium channel subfamily K member 5 (Acid-sensitive potassium channel protein TASK-2) (TWIK-related acid-sensitive K(+) channel 2)	NM_003740
P21580	TNAP3_HUMAN	Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (OTU domain-containing protein 7C) (Putative DNA-binding protein A20) (Zinc finger protein A20) [Cleaved into: A20p50; A20p37]	NM_006290
Q8IX30	SCUB3_HUMAN	Signal peptide, CUB and EGF-like domain-containing protein 3	NM_152753
Q9H1X1	RSPH9_HUMAN	Radial spoke head protein 9 homolog	NM_152732
O15535	ZSC9_HUMAN	Zinc finger and SCAN domain-containing protein 9 (Cell proliferation-inducing gene 12 protein) (PRD51) (Zinc finger protein 193)	NM_006299
Q8TC41	RN217_HUMAN	Probable E3 ubiquitin-protein ligase RNF217 (EC 2.3.2.31) (IBR domain-containing protein 1) (RING finger protein 217)	NM_152553
Q1RMZ1	SAMTR_HUMAN	S-adenosylmethionine sensor upstream of mTORC1 (Probable methyltransferase BMT2 homolog) (EC 2.1.1.-)	NM_152556
Q8N393	ZN786_HUMAN	Zinc finger protein 786	NM_152411
P31271	HXA13_HUMAN	Homeobox protein Hox-A13 (Homeobox protein Hox-1J)	NM_000522
Q6NSZ9	ZSC25_HUMAN	Zinc finger and SCAN domain-containing protein 25 (Zinc finger protein 498)	NM_145115
Q9UIU6	SIX4_HUMAN	Homeobox protein SIX4 (Sine oculis homeobox homolog 4)	NM_017420
Q15475	SIX1_HUMAN	Homeobox protein SIX1 (Sine oculis homeobox homolog 1)	NM_005982
Q6SA08	TSSK4_HUMAN	Testis-specific serine/threonine-protein kinase 4 (TSK-4) (TSSK-4) (Testis-specific kinase 4) (EC 2.7.11.1) (Serine/threonine-protein kinase 22E)	NM_174944
Q8IWE4	DCNL3_HUMAN	DCN1-like protein 3 (DCUN1 domain-containing protein 3) (Defective in cullin neddylation protein 1-like protein 3) (Squamous cell carcinoma-related oncogene 3)	NM_173475
P78415	IRX3_HUMAN	Iroquois-class homeodomain protein IRX-3 (Homeodomain protein IRXB1) (Iroquois homeobox protein 3)	NM_024336
Q8N9A8	NEPR1_HUMAN	Nuclear envelope phosphatase-regulatory subunit 1 (NEP1-R1) (Transmembrane protein 188)	NM_153261
O00257	CBX4_HUMAN	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)	NM_003655
O15297	PPM1D_HUMAN	Protein phosphatase 1D (EC 3.1.3.16) (Protein phosphatase 2C isoform delta) (PP2C-delta) (Protein phosphatase magnesium-dependent 1 delta) (p53-induced protein phosphatase 1)	NM_003620
Q8N9N8	EIF1A_HUMAN	Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein) (Haponin)	NM_032325
P30291	WEE1_HUMAN	Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)	NM_003390
Q96L33	RHOV_HUMAN	Rho-related GTP-binding protein RhoV (CDC42-like GTPase 2) (GTP-binding protein-like 2) (Rho GTPase-like protein ARHV) (Wnt-1 responsive Cdc42 homolog 2) (WRCH-2)	NM_133639
O60294	TYW4_HUMAN	tRNA wybutosine-synthesizing protein 4 (tRNA yW-synthesizing protein 4) (EC 2.1.1.290) (EC 2.3.1.231) (Leucine carboxyl methyltransferase 2) (tRNA(Phe) (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine(37)-N)-methoxycarbonyltransferase) (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-O)-methyltransferase)	NM_014793
Q6ZRI6	CO039_HUMAN	Uncharacterized protein C15orf39	NM_015492
Q9UK73	FEM1B_HUMAN	Protein fem-1 homolog B (FEM1b) (FEM1-beta) (Fem-1-like death receptor-binding protein alpha) (Fem-1-like in apoptotic pathway protein alpha) (F1A-alpha)	NM_015322
Q6P050	FXL22_HUMAN	F-box and leucine-rich protein 22	NM_203373
P42680	TEC_HUMAN	Tyrosine-protein kinase Tec (EC 2.7.10.2)	NM_003215
Q9NYY3	PLK2_HUMAN	Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)	NM_006622
Q86UD3	MARH3_HUMAN	E3 ubiquitin-protein ligase MARCH3 (EC 2.3.2.27) (Membrane-associated RING finger protein 3) (Membrane-associated RING-CH protein III) (MARCH-III) (RING finger protein 173) (RING-type E3 ubiquitin transferase MARCH3)	NM_178450
Q8IV33	K0825_HUMAN	Uncharacterized protein KIAA0825	NM_173665
Q7Z3D4	LYSM3_HUMAN	LysM and putative peptidoglycan-binding domain-containing protein 3	NM_198273
O75461	E2F6_HUMAN	Transcription factor E2F6 (E2F-6)	NM_198256
O75840	KLF7_HUMAN	Krueppel-like factor 7 (Ubiquitous krueppel-like factor)	NM_003709
Q86VZ5	SMS1_HUMAN	Phosphatidylcholine:ceramide cholinephosphotransferase 1 (EC 2.7.8.27) (Medulla oblongata-derived protein) (Protein Mob) (Sphingomyelin synthase 1) (Transmembrane protein 23)	NM_147156
O75474	FRAT2_HUMAN	GSK-3-binding protein FRAT2 (Frequently rearranged in advanced T-cell lymphomas 2) (FRAT-2)	NM_012083
Q96SZ5	AEDO_HUMAN	2-aminoethanethiol dioxygenase (EC 1.13.11.19) (Cysteamine dioxygenase)	NM_032804
Q9UJQ4	SALL4_HUMAN	Sal-like protein 4 (Zinc finger protein 797) (Zinc finger protein SALL4)	NM_020436
Q9H116	GZF1_HUMAN	GDNF-inducible zinc finger protein 1 (Zinc finger and BTB domain-containing protein 23) (Zinc finger protein 336)	NM_022482
Q9H1R3	MYLK2_HUMAN	Myosin light chain kinase 2, skeletal/cardiac muscle (MLCK2) (EC 2.7.11.18)	NM_033118
Q9H8W4	PKHF2_HUMAN	Pleckstrin homology domain-containing family F member 2 (PH domain-containing family F member 2) (Endoplasmic reticulum-associated apoptosis-involved protein containing PH and FYVE domains) (EAPF) (PH and FYVE domain-containing protein 2) (Phafin-2) (Phafin2) (Zinc finger FYVE domain-containing protein 18)	NM_024613
P17097	ZNF7_HUMAN	Zinc finger protein 7 (Zinc finger protein HF.16) (Zinc finger protein KOX4)	NM_003416
Q9UBY8	CLN8_HUMAN	Protein CLN8	NM_018941
Q8TAD8	SNIP1_HUMAN	Smad nuclear-interacting protein 1 (FHA domain-containing protein SNIP1)	NM_024700
Q9NW75	GPTC2_HUMAN	G patch domain-containing protein 2	NM_018040
Q5SVJ3	CA100_HUMAN	Uncharacterized protein C1orf100	NM_001012970
Q9H816	DCR1B_HUMAN	5' exonuclease Apollo (EC 3.1.-.-) (DNA cross-link repair 1B protein) (SNM1 homolog B) (SNMIB) (hSNM1B)	NM_022836
O14645	IDLC_HUMAN	Axonemal dynein light intermediate polypeptide 1 (Inner dynein arm light chain, axonemal) (hp28)	NM_003462
Q6V9R5	ZN562_HUMAN	Zinc finger protein 562	NM_017656
Q9BSK1	ZN577_HUMAN	Zinc finger protein 577	NM_032679
O75865	TPC6A_HUMAN	Trafficking protein particle complex subunit 6A (TRAPP complex subunit 6A)	NM_024108
O43361	ZN749_HUMAN	Zinc finger protein 749	NM_001023561
Q8TAQ5	ZN420_HUMAN	Zinc finger protein 420	NM_144689
P58549	FXYD7_HUMAN	FXYD domain-containing ion transport regulator 7	NM_022006
Q96HQ0	ZN419_HUMAN	Zinc finger protein 419	NM_024691
Q14588	ZN234_HUMAN	Zinc finger protein 234 (Zinc finger protein 269) (Zinc finger protein HZF4)	NM_006630
O75293	GA45B_HUMAN	Growth arrest and DNA damage-inducible protein GADD45 beta (Myeloid differentiation primary response protein MyD118) (Negative growth regulatory protein MyD118)	NM_015675
P57059	SIK1_HUMAN	Serine/threonine-protein kinase SIK1 (EC 2.7.11.1) (Salt-inducible kinase 1) (SIK-1) (Serine/threonine-protein kinase SNF1-like kinase 1) (Serine/threonine-protein kinase SNF1LK)	NM_173354
Q8N2R8	FA43A_HUMAN	Protein FAM43A	NM_153690
Q9UID6	ZN639_HUMAN	Zinc finger protein 639 (Zinc finger protein ANC_2H01) (Zinc finger protein ZASC1)	NM_016331
Q5JPI3	CC038_HUMAN	Uncharacterized protein C3orf38	NM_173824
P13682	ZNF35_HUMAN	Zinc finger protein 35 (Zinc finger protein HF.10)	NM_003420
Q9P2J3	KLHL9_HUMAN	Kelch-like protein 9	NM_018847
O43298	ZBT43_HUMAN	Zinc finger and BTB domain-containing protein 43 (Zinc finger and BTB domain-containing protein 22B) (Zinc finger protein 297B) (ZnF-x)	NM_014007
Q16655	MAR1_HUMAN	Melanoma antigen recognized by T-cells 1 (MART-1) (Antigen LB39-AA) (Antigen SK29-AA) (Protein Melan-A)	NM_005511
Q02742	GCNT1_HUMAN	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase (EC 2.4.1.102) (Core 2-branching enzyme) (Core2-GlcNAc-transferase) (C2GNT) (Core 2 GNT)	NM_001490
